Time,Series 1,Series 2,Series 3
26/01/2013,47.3856,0.2107,5.3992
27/01/2013,48.4534,0.2192,5.5657
28/01/2013,48.163,0.2072,5.4702
29/01/2013,48.4961,0.2362,5.6654
30/01/2013,49.4529,0.231,5.7473
2/2/2013,49.3931,0.2301,5.735
3/2/2013,49.9398,0.2298,5.7968
4/2/2013,49.8629,0.2323,5.8025
5/2/2013,50.888,0.2285,5.8993
6/2/2013,50.9735,0.2154,5.834
10/2/2013,51.3408,0.2179,5.89
11/2/2013,50.7172,0.2215,5.8388
12/2/2013,50.5976,0.2199,5.8158
13/02/2013,51.0845,0.223,5.8897
16/02/2013,50.7001,0.2294,5.8826
17/02/2013,51.9559,0.2218,5.9835
18/02/2013,52.2292,0.1971,5.8791
19/02/2013,52.6051,0.2163,6.0258
20/02/2013,52.3488,0.2165,5.9976
23/02/2013,52.7674,0.2145,6.0341
24/02/2013,52.9383,0.2148,6.0555
25/02/2013,53.0749,0.2137,6.0647
26/02/2013,52.9639,0.2155,6.0624
27/02/2013,52.0157,0.2199,5.9788
2/3/2013,52.5368,0.207,5.9662
3/3/2013,51.2212,0.2093,5.8287
4/3/2013,51.4604,0.1796,5.7099
5/3/2013,52.4257,0.184,5.837
6/3/2013,52.1096,0.1848,5.8057
9/3/2013,52.8358,0.1825,5.8754
10/3/2013,52.6307,0.1889,5.8834
11/3/2013,52.7503,0.1885,5.8948
12/3/2013,52.2805,0.2004,5.9019
13/03/2013,52.7503,0.1978,5.9414
16/03/2013,52.2292,0.1979,5.8832
17/03/2013,51.6483,0.1959,5.8074
18/03/2013,50.9222,0.1932,5.7126
19/03/2013,50.8624,0.1826,5.6566
20/03/2013,50.871,0.1868,5.6766
23/03/2013,52.0755,0.1852,5.8035
24/03/2013,51.7509,0.1667,5.6884
25/03/2013,51.5531,0.1739,5.6954
26/03/2013,52.0432,0.173,5.746
30/03/2013,52.0002,0.1759,5.7535
31/03/2013,52.327,0.1761,5.7907
1/4/2013,52.499,0.1817,5.8345
2/4/2013,52.8602,0.1811,5.8717
3/4/2013,53.0579,0.1805,5.8909
6/4/2013,53.3761,0.1793,5.9211
7/4/2013,54.2103,0.1773,6.0045
8/4/2013,55.2164,0.1678,6.0739
9/4/2013,54.8724,0.1584,5.9988
10/4/2013,54.0383,0.1602,5.9141
13/04/2013,54.3822,0.1494,5.9136
14/04/2013,53.5825,0.1508,5.8313
15/04/2013,54.1243,0.135,5.844
16/04/2013,54.0039,0.142,5.8497
17/04/2013,53.8319,0.1456,5.842
20/04/2013,53.6083,0.1468,5.8213
21/04/2013,53.9695,0.1475,5.8628
22/04/2013,54.6918,0.1449,5.9329
23/04/2013,54.3994,0.1394,5.8853
24/04/2013,54.7004,0.1394,5.9179
27/04/2013,55.6549,0.1394,6.0211
28/04/2013,55.3798,0.1385,5.989
29/04/2013,54.967,0.142,5.9542
30/04/2013,55.4658,0.1366,5.9929
1/5/2013,56.3171,0.1415,6.0989
4/5/2013,56.2827,0.1332,6.0725
5/5/2013,56.2053,0.1348,6.0682
6/5/2013,56.3429,0.1356,6.0851
7/5/2013,56.7987,0.1352,6.1333
8/5/2013,56.6525,0.1347,6.1162
11/5/2013,57.1168,0.1357,6.169
12/5/2013,57.6242,0.1389,6.2328
13/05/2013,57.1684,0.1437,6.1978
14/05/2013,57.3146,0.1434,6.2128
15/05/2013,57.1598,0.1506,6.2199
19/05/2013,56.5235,0.1536,6.1613
20/05/2013,57.1598,0.1447,6.2002
21/05/2013,56.9277,0.1719,6.2804
22/05/2013,56.5665,0.1744,6.2516
25/05/2013,56.8245,0.1749,6.2825
26/05/2013,56.7729,0.1782,6.2925
27/05/2013,57.3576,0.1768,6.3507
28/05/2013,57.0394,0.1772,6.3173
29/05/2013,57.9768,0.1886,6.479
1/6/2013,57.521,0.1843,6.4059
2/6/2013,57.7704,0.1885,6.4553
3/6/2013,58.6991,0.1923,6.5801
4/6/2013,58.9227,0.1896,6.5905
5/6/2013,58.6905,0.1901,6.5673
8/6/2013,58.4669,0.1907,6.5455
9/6/2013,58.7937,0.1901,6.5787
10/6/2013,58.5959,0.1901,6.5562
11/6/2013,59.1463,0.188,6.6067
12/6/2013,58.5443,0.1933,6.5685
15/06/2013,59.3011,0.1884,6.6262
16/06/2013,59.9804,0.1857,6.6873
17/06/2013,59.3527,0.1886,6.6331
18/06/2013,59.0345,0.1864,6.5855
19/06/2013,59.2925,0.1901,6.6345
22/06/2013,57.7876,0.1946,6.4905
23/06/2013,58.2692,0.1707,6.4226
24/06/2013,58.9183,0.1668,6.4767
25/06/2013,58.4423,0.164,6.4121
29/06/2013,58.2778,0.162,6.3856
30/06/2013,57.8191,0.1652,6.3486
1/7/2013,56.6333,0.1662,6.2226
2/7/2013,57.2218,0.1483,6.2188
3/7/2013,58.0355,0.1488,6.3088
6/7/2013,58.9356,0.1489,6.4072
7/7/2013,59.7579,0.1376,6.4595
8/7/2013,59.8877,0.1292,6.4511
9/7/2013,60.208,0.1287,6.4843
10/7/2013,59.905,0.128,6.4499
13/07/2013,59.9483,0.1301,6.4598
14/07/2013,59.8098,0.1534,6.5187
15/07/2013,60.6581,0.1896,6.7844
16/07/2013,60.2772,0.2465,7.1174
17/07/2013,59.6454,0.2491,7.0623
20/07/2013,58.8664,0.3164,7.5096
21/07/2013,58.901,0.3293,7.6255
22/07/2013,59.6714,0.325,7.6876
23/07/2013,59.7579,0.3199,7.6538
24/07/2013,59.3165,0.3485,7.8505
27/07/2013,59.3165,0.3572,7.9302
28/07/2013,59.2559,0.3579,7.9281
29/07/2013,59.4896,0.36,7.9789
30/07/2013,59.0741,0.3774,8.0832
31/07/2013,58.901,0.3807,8.0895
3/8/2013,59.6281,0.3781,8.1658
4/8/2013,59.0568,0.3776,8.0826
5/8/2013,58.1999,0.3827,8.0116
6/8/2013,58.4682,0.3869,8.0878
7/8/2013,58.7625,0.3862,8.1219
10/8/2013,58.9183,0.3911,8.1887
11/8/2013,59.0395,0.3983,8.2734
12/8/2013,58.5115,0.4038,8.2514
13/08/2013,57.0747,0.414,8.142
14/08/2013,55.0493,0.4219,7.9241
17/08/2013,52.1497,0.4255,7.5372
18/08/2013,51.8554,0.38,7.1167
19/08/2013,54.4521,0.3736,7.4184
20/08/2013,55.811,0.3132,7.0941
21/08/2013,55.508,0.3085,7.0176
24/08/2013,55.4821,0.3104,7.03
25/08/2013,53.1884,0.3238,6.843
26/08/2013,54.1578,0.2857,6.673
27/08/2013,54.253,0.2769,6.62
28/08/2013,53.2316,0.2822,6.5334
1/9/2013,54.6684,0.2647,6.5818
2/9/2013,53.8202,0.2488,6.3702
3/9/2013,54.2357,0.24,6.3609
4/9/2013,54.1491,0.2386,6.3419
7/9/2013,53.9933,0.2576,6.451
8/9/2013,55.032,0.2801,6.7389
9/9/2013,55.5167,0.2701,6.7237
10/9/2013,54.227,0.2743,6.5978
11/9/2013,52.7469,0.2676,6.3706
14/09/2013,53.1884,0.2431,6.2579
15/09/2013,52.7209,0.2525,6.2645
16/09/2013,52.4872,0.2524,6.236
17/09/2013,52.1237,0.2527,6.1953
18/09/2013,53.2057,0.2461,6.28
21/09/2013,51.916,0.2635,6.2424
22/09/2013,51.7948,0.2409,6.0803
23/09/2013,52.7729,0.2463,6.2303
24/09/2013,53.1624,0.2457,6.2721
25/09/2013,53.0142,0.2459,6.2559
28/09/2013,54.0691,0.2401,6.3419
29/09/2013,54.0952,0.2325,6.2958
30/09/2013,54.1649,0.253,6.4398
1/10/2013,54.1649,0.2639,6.5155
2/10/2013,53.9906,0.2644,6.498
5/10/2013,53.8075,0.266,6.4874
6/10/2013,53.6593,0.2808,6.5756
7/10/2013,52.2993,0.2897,6.4732
8/10/2013,53.9557,0.2604,6.4656
